"","k_CCAplus","intercept_CCAplus","k_GScore","intercept_Gscore"
"320",0.473215,-0.0147041,0.291715,1.83006
"321",0.451118,0.0687537,0.29627,1.79236
"322",0.449871,0.0874343,0.291336,1.80621
"323",0.481554,0.0971118,0.299146,1.88859
"324",0.45562,0.0794758,0.277609,1.83917
"325",0.506859,0.0109113,0.271672,1.82479
"326",0.406603,-0.0232896,0.275277,1.86818
"327",0.462608,0.0775294,0.271379,1.86928
"328",0.482308,0.0583599,0.268823,1.82997
"329",0.463324,0.0186197,0.266523,1.91377
"330",0.414531,0.0715173,0.284843,1.86283
"331",0.41198,0.0756859,0.279636,1.88154
"332",0.431451,0.0863398,0.280319,1.78958
"333",0.426297,0.113931,0.297279,1.68972
"334",0.471707,0.210124,0.311118,1.74872
"335",0.463109,0.183052,0.305858,1.77213
"336",0.472773,0.099256,0.313345,1.67378
"337",0.479872,0.0737569,0.32854,1.82177
"338",0.465894,0.0950678,0.323774,1.85857
"339",0.474176,0.0412764,0.323197,1.87883
"340",0.480622,0.0781913,0.320961,1.93988
"341",0.492239,0.121222,0.331102,1.94274
"342",0.528437,0.0975146,0.327198,1.81501
"343",0.467195,0.0743167,0.320526,1.75868
"344",0.468307,0.227127,0.325362,1.84481
"345",0.468221,0.225235,0.323136,1.87667
"346",0.503593,0.115322,0.326309,1.84041
"347",0.506885,0.117525,0.355527,1.80839
"348",0.511568,0.113687,0.348115,1.82978
"349",0.426469,0.128859,0.349747,1.83093
"350",0.433448,0.119072,0.346741,1.81905
"351",0.442981,0.0823637,0.343784,1.77949
"352",0.450446,0.0235137,0.331528,1.79562
"353",0.54749,0.011977,0.335789,1.77916
"354",0.454776,0.0486005,0.335209,1.76311
"355",0.479562,0.0265059,0.336992,1.81939
"356",0.437184,0.1141,0.304631,1.74705
"357",0.431987,0.0603199,0.331797,1.56601
"358",0.456285,0.122511,0.330984,1.59334
"359",0.455445,0.0282595,0.322506,1.66519
"360",0.431986,-0.0446088,0.355151,1.64779
"361",0.413252,-0.106538,0.357233,1.76968
"362",0.413111,-0.145321,0.323535,1.82682
"363",0.404795,-0.115397,0.29738,1.69108
"364",0.355435,-0.206319,0.294552,1.689
"365",0.312698,-0.165136,0.297995,1.75795
"366",0.350917,-0.160908,0.306391,1.93951
"367",0.363962,-0.147699,0.311786,1.89211
"368",0.361516,-0.0594881,0.295568,1.80925
"369",0.411234,0.105231,0.295647,1.96297
"370",0.397822,0.0693234,0.29449,1.80431
"371",0.385375,-0.223191,0.308618,1.77592
"372",0.40684,-0.264022,0.294082,2.05068
"373",0.44671,-0.132366,0.305213,2.01616
"374",0.418911,-0.135157,0.290659,2.01212
